29,572
29,963
29,1236
29,2405
29,2406
29,2626
29,3144
29,4026
29,4649
29,5602
29,5830
29,6000
29,6064
29,6224
29,6329
29,6401
29,6840
29,7289
29,7669
29,7956
29,8495
29,8845
29,9573
29,9574
29,10055
29,10056
29,11474
29,12385
29,12608
29,12957
29,15392
29,15599
29,15600
122,669
122,1416
122,3878
122,5773
122,5847
122,6502
122,9532
122,10012
122,10742
122,12130
122,12832
122,14315
122,15075
122,15471
169,2627
169,5126
169,5547
169,5701
169,5702
169,9054
169,9638
169,11053
169,11386
169,11747
169,11800
181,963
181,4026
221,669
221,1416
221,2402
221,3752
221,3842
221,3878
221,4667
221,5773
221,5847
221,5998
221,6502
221,7715
221,8869
221,9241
221,9532
221,10012
221,10742
221,12130
221,12783
221,12815
221,12832
221,14315
221,15075
221,15467
226,227
226,228
226,822
226,931
226,1124
226,1134
226,1172
226,1177
226,1179
226,1294
226,1912
226,2998
226,3195
226,4048
226,4315
226,4582
226,4648
226,4840
226,4841
226,5034
226,5036
226,5175
226,5420
226,6056
226,6150
226,6478
226,6494
226,6603
226,6926
226,8295
226,8335
226,8341
226,8343
226,8344
226,8599
226,8632
226,8996
226,9076
226,9582
226,9586
226,9608
226,10002
226,10551
226,10596
226,10640
226,11022
226,11893
226,12499
226,12672
226,13546
226,13648
226,14342
226,14491
226,14688
226,14748
226,14868
226,14921
226,14925
226,14935
226,15244
227,228
227,822
227,931
227,1124
227,1134
227,1172
227,1177
227,1179
227,1288
227,1294
227,1912
227,2998
227,3195
227,4048
227,4315
227,4582
227,4648
227,4840
227,4841
227,5034
227,5036
227,5175
227,5420
227,6056
227,6150
227,6478
227,6494
227,6603
227,6926
227,8295
227,8335
227,8341
227,8343
227,8344
227,8599
227,8632
227,8996
227,9076
227,9582
227,9586
227,9608
227,10002
227,10551
227,10596
227,10640
227,11022
227,11893
227,12499
227,12672
227,13546
227,13648
227,14342
227,14491
227,14688
227,14748
227,14868
227,14921
227,14925
227,14935
227,15244
228,931
228,1124
228,1134
228,1172
228,1177
228,1179
228,1294
228,1912
228,3195
228,4048
228,4315
228,4582
228,4648
228,4840
228,4841
228,5034
228,5036
228,5175
228,5420
228,6056
228,6150
228,6478
228,6494
228,6603
228,6926
228,8295
228,8335
228,8341
228,8343
228,8344
228,8599
228,8632
228,8996
228,9076
228,9582
228,9586
228,9608
228,10002
228,10596
228,10640
228,11022
228,11893
228,12499
228,12672
228,13546
228,13648
