Chemical1,Chemical2,Correlation,P-value
29,572,0.5227333533144373,0.0
29,963,0.584470577012266,0.0
29,1236,0.5389117677174435,0.0
29,2405,0.5822165106989932,0.0
29,2406,0.569136856026289,0.0
29,2626,0.5771232631239278,0.0
29,3144,0.5524857798866594,0.0
29,4026,0.5863182884633671,0.0
29,4649,0.5069919780385207,0.0
29,5602,0.5504294736486346,0.0
29,5830,0.6005481534752911,0.0
29,6000,0.5823198921830314,0.0
29,6064,0.556493300708994,0.0
29,6224,0.5044429689188897,0.0
29,6329,0.5896452991833564,0.0
29,6401,0.5179740476137747,0.0
29,6840,0.5480863492071932,0.0
29,7289,0.5067714099271879,0.0
29,7669,0.5109546910146849,0.0
29,7956,0.5146164198491043,0.0
29,8495,0.505826412627478,0.0
29,8845,0.5462702821499003,0.0
29,9573,0.5644017493190971,0.0
29,9574,0.5060282621794183,0.0
29,10055,0.5792813125565016,0.0
29,10056,0.5744705103684407,0.0
29,11474,0.5779447138781668,0.0
29,12385,0.5292797478748335,0.0
29,12608,0.5456034631490017,0.0
29,12957,0.5618997193859188,0.0
29,15392,0.5201629450136999,0.0
29,15599,0.5724528301345756,0.0
29,15600,0.5824685558208428,0.0
122,669,0.583680121381315,0.0
122,1416,0.5151752725542189,0.0
122,3878,0.5823101908871758,0.0
122,5773,0.5185865149826903,0.0
122,5847,0.5319989021177769,0.0
122,6502,0.5398852730646231,0.0
122,9532,0.5629294483137428,0.0
122,10012,0.501555743184282,0.0
122,10742,0.5681281641701078,0.0
122,12130,0.5005911968375878,0.0
122,12832,0.5422877137992739,0.0
122,14315,0.5504221065378025,0.0
122,15075,0.519651349459009,0.0
122,15471,0.5283472677988311,0.0
169,2627,0.5405217005366257,0.0
169,5126,0.549245264131521,0.0
169,5547,0.5451455202805303,0.0
169,5701,0.5678728839728288,0.0
169,5702,0.6239768172236667,0.0
169,9054,0.648958693637092,0.0
169,9638,0.5054887045654622,0.0
169,11053,0.5602605096272313,0.0
169,11386,0.5160277879657553,0.0
169,11747,0.5520149064438322,0.0
169,11800,0.5449664667864259,0.0
181,963,0.5055474743134712,0.0
181,4026,0.5003619393142306,0.0
221,669,0.590856976857095,0.0
221,1416,0.5709279177727611,0.0
221,2402,0.5385315350306858,0.0
221,3752,0.5410937349600977,0.0
221,3842,0.5686974601434287,0.0
221,3878,0.5842678178219382,0.0
221,4667,0.5567827027350928,0.0
221,5773,0.5505662717316775,0.0
221,5847,0.5517597220991292,0.0
221,5998,0.5873822339589702,0.0
221,6502,0.5469291877873379,0.0
221,7715,0.5517102757043734,0.0
221,8869,0.5150375404170734,0.0
221,9241,0.5095549688951124,0.0
221,9532,0.6030845837495948,0.0
221,10012,0.5092879743313666,0.0
221,10742,0.5760519301004988,0.0
221,12130,0.518277265763192,0.0
221,12783,0.5085058048318912,0.0
221,12815,0.5410669196539051,0.0
221,12832,0.5470330399431507,0.0
221,14315,0.5769311622886929,0.0
221,15075,0.5137051452760169,0.0
221,15467,0.5097352662376813,0.0
226,227,0.7861969620861821,0.0
226,228,0.772322493954294,0.0
226,822,0.5023851285788331,0.0
226,931,0.6254892394775825,0.0
226,1124,0.534826696533291,0.0
226,1134,0.5264122144372747,0.0
226,1172,0.6335058972351014,0.0
226,1177,0.6762964378655599,0.0
226,1179,0.6763710509966786,0.0
226,1294,0.517026255945117,0.0
226,1912,0.5347464803558127,0.0
226,2998,0.5034153692574214,0.0
226,3195,0.5460485804891583,0.0
226,4048,0.5173147442899665,0.0
226,4315,0.530962660791149,0.0
226,4582,0.610050276513106,0.0
226,4648,0.6994365984110376,0.0
226,4840,0.5389421189284267,0.0
226,4841,0.5154372767033015,0.0
226,5034,0.5850184492267183,0.0
226,5036,0.6900226981336038,0.0
226,5175,0.6109469146803856,0.0
226,5420,0.5559938372699127,0.0
226,6056,0.5915946594045415,0.0
226,6150,0.511496999272602,0.0
226,6478,0.6739028980905071,0.0
226,6494,0.5880032804270533,0.0
226,6603,0.634198751006206,0.0
226,6926,0.6671804639857218,0.0
226,8295,0.6531133876784345,0.0
226,8335,0.5117515117906595,0.0
226,8341,0.7097550009704565,0.0
226,8343,0.6598810156501717,0.0
226,8344,0.6400234254683751,0.0
226,8599,0.579711553523568,0.0
226,8632,0.6325392141376545,0.0
226,8996,0.5819294226440725,0.0
226,9076,0.5759840788426113,0.0
226,9582,0.6505507507833973,0.0
226,9586,0.5228216445050385,0.0
226,9608,0.5457809907655525,0.0
226,10002,0.6170646887018959,0.0
226,10551,0.5055944022333745,0.0
226,10596,0.5266132874696002,0.0
226,10640,0.5610117436980536,0.0
226,11022,0.5693913028852199,0.0
226,11893,0.6209375897970894,0.0
226,12499,0.6351102799082784,0.0
226,12672,0.5946089098029226,0.0
226,13546,0.5442121793776236,0.0
226,13648,0.5742468413801542,0.0
226,14342,0.5231825723886875,0.0
226,14491,0.6348970186139458,0.0
226,14688,0.5559503323378888,0.0
226,14748,0.6262205649961263,0.0
226,14868,0.59638357381523,0.0
226,14921,0.5685838604972108,0.0
226,14925,0.5610845504288815,0.0
226,14935,0.6237726099036036,0.0
226,15244,0.5103360050921972,0.0
227,228,0.7819414214632342,0.0
227,822,0.5025459491950512,0.0
227,931,0.6335011985825385,0.0
227,1124,0.5321626676076323,0.0
227,1134,0.53236270430231,0.0
227,1172,0.6303362924553692,0.0
227,1177,0.6795756312361895,0.0
227,1179,0.6819988364374174,0.0
227,1288,0.5096616009212892,0.0
227,1294,0.5144474541560449,0.0
227,1912,0.5317662521339126,0.0
227,2998,0.5124057633758745,0.0
227,3195,0.5471238951250419,0.0
227,4048,0.516085229802179,0.0
227,4315,0.5340003613223142,0.0
227,4582,0.6150830898371042,0.0
227,4648,0.7044337027370013,0.0
227,4840,0.542949044917572,0.0
227,4841,0.5159011017560399,0.0
227,5034,0.5782804140327514,0.0
227,5036,0.6880179008241191,0.0
227,5175,0.625678551660553,0.0
227,5420,0.5542777001695941,0.0
227,6056,0.5963743860616884,0.0
227,6150,0.5145932073107825,0.0
227,6478,0.6761335287436775,0.0
227,6494,0.6016366406948953,0.0
227,6603,0.6406661834874146,0.0
227,6926,0.6776340875721413,0.0
227,8295,0.6575969524572178,0.0
227,8335,0.5142220457132677,0.0
227,8341,0.7095624741065985,0.0
227,8343,0.6685555733579188,0.0
227,8344,0.6439614626946448,0.0
227,8599,0.5881301314004636,0.0
227,8632,0.6438345591261395,0.0
227,8996,0.5837502325957111,0.0
227,9076,0.5832484612948964,0.0
227,9582,0.6572360652025803,0.0
227,9586,0.5297187944579896,0.0
227,9608,0.5457802639902215,0.0
227,10002,0.6072470461237337,0.0
227,10551,0.5035564332345724,0.0
227,10596,0.527425793939468,0.0
227,10640,0.5635431922311147,0.0
227,11022,0.5644097423321963,0.0
227,11893,0.6177116839519994,0.0
227,12499,0.6391547017675011,0.0
227,12672,0.6018774403546285,0.0
227,13546,0.5544654598902363,0.0
227,13648,0.574734886413507,0.0
227,14342,0.5264783859169498,0.0
227,14491,0.6331400112641254,0.0
227,14688,0.5671232477615186,0.0
227,14748,0.6317526646995933,0.0
227,14868,0.6000183499627906,0.0
227,14921,0.5703548475992648,0.0
227,14925,0.570739985090972,0.0
227,14935,0.6288667172221227,0.0
227,15244,0.5190177865789882,0.0
228,931,0.6163593354307557,0.0
228,1124,0.5267458519359711,0.0
228,1134,0.5213969162772008,0.0
228,1172,0.6224968081969378,0.0
228,1177,0.6658297771274301,0.0
228,1179,0.6659666763927525,0.0
228,1294,0.5073240045325809,0.0
228,1912,0.5283062454211719,0.0
228,3195,0.5373727303755845,0.0
228,4048,0.5118684368099646,0.0
228,4315,0.5207139182713565,0.0
228,4582,0.5921834280707672,0.0
228,4648,0.684884022178355,0.0
228,4840,0.5279883910906014,0.0
228,4841,0.5070081402887283,0.0
228,5034,0.5741941997438309,0.0
228,5036,0.6769478762592701,0.0
228,5175,0.6054864291923548,0.0
228,5420,0.5449633563938219,0.0
228,6056,0.5793496287329105,0.0
228,6150,0.5056203300084517,0.0
228,6478,0.6621683328296167,0.0
228,6494,0.580503533557022,0.0
228,6603,0.6213345392619221,0.0
228,6926,0.65894519795646,0.0
228,8295,0.6450800541138988,0.0
228,8335,0.5018252745264994,0.0
228,8341,0.6963628981426916,0.0
228,8343,0.647772403960906,0.0
228,8344,0.6301643967270313,0.0
228,8599,0.5718323318947637,0.0
228,8632,0.6219900524661722,0.0
228,8996,0.5679775575813427,0.0
228,9076,0.566957603868273,0.0
228,9582,0.6369099353903073,0.0
228,9586,0.5142831906298413,0.0
228,9608,0.5368738057781287,0.0
228,10002,0.6062823357855492,0.0
228,10596,0.5197953669073413,0.0
228,10640,0.5468155932263493,0.0
228,11022,0.5571250165003057,0.0
228,11893,0.6086992729036473,0.0
228,12499,0.6279621629177359,0.0
228,12672,0.589075524122306,0.0
228,13546,0.5374651514465952,0.0
228,13648,0.5627492238556668,0.0
228,14342,0.511442038871305,0.0
228,14491,0.6220364405999402,0.0
228,14688,0.5551897134564004,0.0
228,14748,0.6138069949341808,0.0
228,14868,0.5879133848626055,0.0
228,14921,0.5564032979295056,0.0
